Metric,Mean,CI_lower,CI_upper
Accuracy,0.8980349559657377,0.8947083484135602,0.9013768247074435
Precision,0.8517842653037158,0.8467881393130745,0.8567921847125107
Recall,0.9637685056213029,0.9608637343192438,0.966694576990377
F1,0.9043202776411802,0.9010770022718646,0.9076757772039918
AUC‑ROC,0.9717248249782561,0.9702302401484516,0.9733361084258897
