Class,# Instances,Train %,Val %,Test %,Balance (SMOTE v1),"Balance (v2, v3)"
normal,110519,35.0%,7.5%,7.5%,✓,✗
ddos,110519,35.0%,7.5%,7.5%,✓,✗
